;Palavra;QTD
2;700ML;135
6;965ML;117
10;600ML;94
13;ML;80
17;500ML;63
28;750ML;40
34;1X700ML;33
43;910ML;28
48;670ML;26
51;970ML;21
53;960ML;20
63;350ML;16
64;1X600ML;16
75;275ML;13
81;12X500ML;12
